"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"가진","8","","","",""
"힘을","8","","","",""
"책에서","8","","","",""
"평소","8","","","",""
"슬기로운","8","","","",""
"독서생활","8","","","",""
"내용이","8","","","",""
"사고","8","","","",""
"방법은","8","","","",""
"©","8","","","",""
"굳이","8","","","",""
"전국","8","","","",""
"환경을","8","","","",""
"결과","8","","","",""
"절반","8","","","",""
"아이의","8","","","",""
"답한","8","","","",""
"느린","8","","","",""
"되면","8","","","",""
"–","8","","","",""
"스마트","8","","","",""
"17","7","","","",""
"32","7","","","",""
"45","7","","","",""
"49","7","","","",""
"67","7","","","",""
"2018","7","","","",""
"TV","7","","","",""
"02","7","","","",""
"권도","7","","","",""
"실시한","7","","","",""
"줄었다","7","","","",""
"느끼는","7","","","",""
"자료구입비를","7","","","",""
"문학의","7","","","",""
"말","7","","","",""
"빠르게","7","","","",""
"속에서","7","","","",""
"독자와","7","","","",""
"사회의","7","","","",""
"도움을","7","","","",""
"주고","7","","","",""
"의미가","7","","","",""
"여기에","7","","","",""
"점차","7","","","",""
"독자의","7","","","",""
"상당히","7","","","",""
"줄어든","7","","","",""
"빠져","7","","","",""
"이들이","7","","","",""
"부분은","7","","","",""
"소설은","7","","","",""
"약","7","","","",""
"주요","7","","","",""
"이에","7","","","",""
"작품을","7","","","",""
"재미를","7","","","",""
"찾는","7","","","",""
"하나의","7","","","",""
"조사는","7","","","",""
"처음부터","7","","","",""
"바란다","7","","","",""
"읽어주기","7","","","",""
"상황에서","7","","","",""
"읽어주는","7","","","",""
"증가했다","7","","","",""
"어린","7","","","",""
"변화가","7","","","",""
"문체부","7","","","",""
"쓰고","7","","","",""
"된다고","7","","","",""
"있으면","7","","","",""
"집에","7","","","",""
"깊게","7","","","",""
"나은","7","","","",""
"읽었다는","7","","","",""
"즉","7","","","",""
"작가가","7","","","",""
"자기가","7","","","",""
"적","7","","","",""
"꽤","7","","","",""
"편하게","7","","","",""
"생글기자","7","","","",""
"속","7","","","",""
"방식으로","7","","","",""
"지금은","7","","","",""
"경우가","7","","","",""
"자연스럽게","7","","","",""
"영상","7","","","",""
"되기","7","","","",""
"삶에","7","","","",""
"뉴스","7","","","",""
"것에","7","","","",""
"같습니다","7","","","",""
"안에서","7","","","",""
"그걸","7","","","",""
"갖고","7","","","",""
"스스로를","7","","","",""
"등이","7","","","",""
"들고","7","","","",""
"마음에","7","","","",""
"깊은","7","","","",""
"하게","7","","","",""
"관심을","7","","","",""
"글씨","7","","","",""
"자기계발","7","","","",""
"읽어","7","","","",""
"추천","7","","","",""
"대부분","7","","","",""
"사람도","7","","","",""
"비평하다","7","","","",""
"읽어야만","7","","","",""
"읽었던","7","","","",""
"“책을","7","","","",""
"매개로","7","","","",""
"들었다","7","","","",""
"시간은","7","","","",""
"무단전재","7","","","",""
"재배포","7","","","",""
"금지","7","","","",""
"싶다","7","","","",""
"않는다는","7","","","",""
"책읽는","7","","","",""
"못한","7","","","",""
"할지","7","","","",""
"대학","7","","","",""
"읽어도","7","","","",""
"읽도록","7","","","",""
"2019년","7","","","",""
"씨는","7","","","",""
"50대","7","","","",""
"기준","7","","","",""
"태그","7","","","",""
"인간을","7","","","",""
"위대한","7","","","",""
"분들도","7","","","",""
"국민독서실태조사의","7","","","",""
"부모님이","7","","","",""
"편집자","7","","","",""
"목적","7","","","",""
"답했다","7","","","",""
"생각은","7","","","",""
"뇌가","7","","","",""
"이제는","7","","","",""
"배우고","7","","","",""
"뇌의","7","","","",""
"학생들은","7","","","",""
"”고","7","","","",""
"”며","7","","","",""
"오디오북","7","","","",""
"27","6","","","",""
"34","6","","","",""
"78","6","","","",""
"91","6","","","",""
"2016","6","","","",""
"방법이","6","","","",""
"문제는","6","","","",""
"시간에","6","","","",""
"응답자","6","","","",""
"독서량도","6","","","",""
"성인이","6","","","",""
"2011년","6","","","",""
"이유로는","6","","","",""
"길을","6","","","",""
"심각하게","6","","","",""
"놓고","6","","","",""
"국민의","6","","","",""
"한편","6","","","",""
"온라인","6","","","",""
"게임","6","","","",""
"하는데","6","","","",""
"말로","6","","","",""
"문학을","6","","","",""
"솔직히","6","","","",""
"작가","6","","","",""
"즐거움을","6","","","",""
"장르","6","","","",""
"관련한","6","","","",""
"준다","6","","","",""
"독자가","6","","","",""
"독자들이","6","","","",""
"독서란","6","","","",""
"관심이","6","","","",""
"시장이","6","","","",""
"비슷한","6","","","",""
"기간","6","","","",""
"문학에","6","","","",""
"점이","6","","","",""
"눈에","6","","","",""
"나이가","6","","","",""
"않을","6","","","",""
"가능성이","6","","","",""
"높다","6","","","",""
"않아","6","","","",""
"보니","6","","","",""
"와","6","","","",""
"달리","6","","","",""
"나오는","6","","","",""
"사실이다","6","","","",""
"비율이","6","","","",""
"필요하다","6","","","",""
"사실은","6","","","",""
"조금씩","6","","","",""
"서로","6","","","",""
"대해서는","6","","","",""
"나중에","6","","","",""
"검색","6","","","",""
"시를","6","","","",""
"조사한","6","","","",""
"태그목록","6","","","",""
"영향","6","","","",""
"교육","6","","","",""
"독서실태","6","","","",""
"뿐이다","6","","","",""
"6권","6","","","",""
"보였다","6","","","",""
"등은","6","","","",""
"소설이나","6","","","",""
"읽기에","6","","","",""
"평생","6","","","",""
"말고","6","","","",""
