"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"△","16","","","",""
"않을","16","","","",""
"간","16","","","",""
"통해서","16","","","",""
"…","16","","","",""
"역할을","16","","","",""
"유럽","16","","","",""
"매거진","16","","","",""
"내통설","16","","","",""
"like","16","","","",""
"편집인","16","","","",""
"SNS","16","","","",""
"작은","16","","","",""
"않을까","16","","","",""
"이동","16","","","",""
"가진","16","","","",""
"이라는","16","","","",""
"마음에","16","","","",""
"공지사항","16","","","",""
"열기","16","","","",""
"의미를","16","","","",""
"khn","16","","","",""
"만들기","16","","","",""
"좋다","16","","","",""
"입니다","16","","","",""
"있는데요","16","","","",""
"문을","16","","","",""
"적은","16","","","",""
"d","16","","","",""
"권장","16","","","",""
"이유가","16","","","",""
"KBS","16","","","",""
"기능을","16","","","",""
"종목","16","","","",""
"정종호","16","","","",""
"오프라인","16","","","",""
"글로벌","15","","","",""
"쓰기","15","","","",""
"집에","15","","","",""
"독자의","15","","","",""
"사람들의","15","","","",""
"독서량","15","","","",""
"도서를","15","","","",""
"느끼는","15","","","",""
"id","15","","","",""
"관리","15","","","",""
"적이","15","","","",""
"자료","15","","","",""
"와","15","","","",""
"문장을","15","","","",""
"미치는","15","","","",""
"맞는","15","","","",""
"편집자","15","","","",""
"방법을","15","","","",""
"트렌드","15","","","",""
"스페셜","15","","","",""
"마음이","15","","","",""
"떠오르는","15","","","",""
"이상","15","","","",""
"이벤트","15","","","",""
"x","15","","","",""
"개인정보취급방침","15","","","",""
"아","15","","","",""
"투자","15","","","",""
"배","15","","","",""
"쉬운","15","","","",""
"가까운","15","","","",""
"방식으로","15","","","",""
"속에","15","","","",""
"나를","15","","","",""
"오래","15","","","",""
"책읽기","15","","","",""
"꽤","15","","","",""
"생각하고","15","","","",""
"학습","15","","","",""
"생글기자","15","","","",""
"지식과","15","","","",""
"리터러시를","15","","","",""
"오늘","15","","","",""
"시대의","15","","","",""
"흔히","15","","","",""
"법","15","","","",""
"인해","15","","","",""
"그대로","15","","","",""
"깊이","15","","","",""
"당신의","15","","","",""
"책읽기를","15","","","",""
"학생의","15","","","",""
"청소년보호정책","15","","","",""
"인생을","15","","","",""
"보도자료","15","","","",""
"기사를","15","","","",""
"많습니다","15","","","",""
"■","15","","","",""
"형태로","15","","","",""
"아이들은","15","","","",""
"지미준","15","","","",""
"복지","14","","","",""
"있으면","14","","","",""
"대신","14","","","",""
"독서율","14","","","",""
"무엇이","14","","","",""
"년에는","14","","","",""
"나","14","","","",""
"목록","14","","","",""
"온라인","14","","","",""
"s","14","","","",""
"발표한","14","","","",""
"관심을","14","","","",""
"보인다","14","","","",""
"선호하는","14","","","",""
"관심이","14","","","",""
"성인의","14","","","",""
"일부","14","","","",""
"부분이","14","","","",""
"떨어지는","14","","","",""
"독서율이","14","","","",""
"아예","14","","","",""
">gt","14","","","",""
"button","14","","","",""
"중국","14","","","",""
"이게","14","","","",""
"북","14","","","",""
"“놀고","14","","","",""
"가능하다","14","","","",""
"스크랩","14","","","",""
