"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"préférences","8","","","",""
"elise","8","","","",""
"gravel","8","","","",""
"éditions","8","","","",""
"déc","8","","","",""
"franz","8","","","",""
"susan","8","","","",""
"quotidien","8","","","",""
"privilégient","8","","","",""
"constitué","8","","","",""
"acheter","8","","","",""
"portable","8","","","",""
"p","8","","","",""
"camara","8","","","",""
"cʼest","8","","","",""
"flux","8","","","",""
"auteuil","8","","","",""
"0","7","","","",""
"41","7","","","",""
"61","7","","","",""
"70","7","","","",""
"72","7","","","",""
"lectrices","7","","","",""
"pierre","7","","","",""
"sociale","7","","","",""
"représentatif","7","","","",""
"pays","7","","","",""
"pouvoir","7","","","",""
"et","7","","","",""
"e","7","","","",""
"programme","7","","","",""
"veut","7","","","",""
"catégories","7","","","",""
"intéressent","7","","","",""
"penser","7","","","",""
"fin","7","","","",""
"sites","7","","","",""
"podcast","7","","","",""
"prend","7","","","",""
"économie","7","","","",""
"confidentialité","7","","","",""
"meilleure","7","","","",""
"•","7","","","",""
"éléments","7","","","",""
"vocabulaire","7","","","",""
"tablettes","7","","","",""
"permettent","7","","","",""
"phrases","7","","","",""
"jeu","7","","","",""
"silence","7","","","",""
"arrive","7","","","",""
"changé","7","","","",""
"habitude","7","","","",""
"mémoire","7","","","",""
"aide","7","","","",""
"probablement","7","","","",""
"mauvaise","7","","","",""
"imagination","7","","","",""
"écrire","7","","","",""
"fort","7","","","",""
"concerne","7","","","",""
"mettre","7","","","",""
"esprit","7","","","",""
"énormément","7","","","",""
"difficile","7","","","",""
"notes","7","","","",""
"mise","7","","","",""
"autres","7","","","",""
"images","7","","","",""
"image","7","","","",""
"contrairement","7","","","",""
"progression","7","","","",""
"fortement","7","","","",""
"surfaces","7","","","",""
"répondre","7","","","",""
"pères","7","","","",""
"supérieur","7","","","",""
"féminins","7","","","",""
"vue","7","","","",""
"domaine","7","","","",""
"soutenir","7","","","",""
"langue","7","","","",""
"nous","7","","","",""
"entendu","7","","","",""
"privilégié","7","","","",""
"favorisés","7","","","",""
"3h","7","","","",""
"confinements","7","","","",""
"alain","7","","","",""
"direct","7","","","",""
"synonymes","7","","","",""
"google","7","","","",""
"iframe","7","","","",""
"vieillissement","7","","","",""
"perdu","7","","","",""
"écrivain","7","","","",""
"réaliser","7","","","",""
"terminale","7","","","",""
"mai","7","","","",""
"communication","7","","","",""
"à","7","","","",""
"dire","7","","","",""
"révèle","7","","","",""
"œuvre","7","","","",""
"avis","7","","","",""
"simplement","7","","","",""
"sociales","7","","","",""
"culturelle","7","","","",""
"forme","7","","","",""
"relire","7","","","",""
"critique","7","","","",""
"tiers","7","","","",""
"réalité","7","","","",""
"publiques","7","","","",""
"utilisent","7","","","",""
"by","7","","","",""
"autour","7","","","",""
"porte","7","","","",""
"journal","7","","","",""
"vente","7","","","",""
"présidente","7","","","",""
"concurrence","7","","","",""
"période","7","","","",""
"largement","7","","","",""
"avril","7","","","",""
"tard","7","","","",""
"gérer","7","","","",""
"continuer","7","","","",""
"garde","7","","","",""
"journaliste","7","","","",""
"adolescent","7","","","",""
"physique","7","","","",""
"base","7","","","",""
"confirment","7","","","",""
"entre","7","","","",""
"bande","7","","","",""
"dessinée","7","","","",""
"handball","7","","","",""
"apprentis","7","","","",""
"37","6","","","",""
"43","6","","","",""
"48","6","","","",""
"56","6","","","",""
"59","6","","","",""
"68","6","","","",""
"69","6","","","",""
"73","6","","","",""
"74","6","","","",""
"82","6","","","",""
"2013","6","","","",""
"produits","6","","","",""
"monadé","6","","","",""
"lundi","6","","","",""
"atteint","6","","","",""
"référence","6","","","",""
"regardent","6","","","",""
"détail","6","","","",""
"groupe","6","","","",""
"service","6","","","",""
"digital","6","","","",""
"ou","6","","","",""
"services","6","","","",""
"personnelles","6","","","",""
"cliché","6","","","",""
"08","6","","","",""
"connaissances","6","","","",""
"laisse","6","","","",""
"youtube","6","","","",""
"pape","6","","","",""
"festival","6","","","",""
"sorties","6","","","",""
"gestion","6","","","",""
"générales","6","","","",""
"considèrent","6","","","",""
"entend","6","","","",""
"différemment","6","","","",""
"liens","6","","","",""
"famille","6","","","",""
"fautes","6","","","",""
"devient","6","","","",""
"plan","6","","","",""
"apprend","6","","","",""
"régulièrement","6","","","",""
"commentaire","6","","","",""
"meilleur","6","","","",""
"lien","6","","","",""
"ebook","6","","","",""
"recul","6","","","",""
"fermer","6","","","",""
"concentration","6","","","",""
"développer","6","","","",""
"journée","6","","","",""
"auparavant","6","","","",""
"transports","6","","","",""
"phénomène","6","","","",""
"importants","6","","","",""
"sexes","6","","","",""
"bonnes","6","","","",""
"delà","6","","","",""
"magazines","6","","","",""
"augmente","6","","","",""
"lectorat","6","","","",""
"formats","6","","","",""
"disponible","6","","","",""
"marché","6","","","",""
"view","6","","","",""
"books","6","","","",""
"of","6","","","",""
"07","6","","","",""
"lettres","6","","","",""
"préférés","6","","","",""
"joué","6","","","",""
"09","6","","","",""
"matin","6","","","",""
"main","6","","","",""
"coupe","6","","","",""
"suivez","6","","","",""
"accepter","6","","","",""
"synonyme","6","","","",""
"environnement","6","","","",""
"échanges","6","","","",""
"position","6","","","",""
"usage","6","","","",""
"lance","6","","","",""
"télé","6","","","",""
"taux","6","","","",""
"comprend","6","","","",""
"précédentes","6","","","",""
"interrogées","6","","","",""
"discours","6","","","",""
"mesurer","6","","","",""
"sanitaire","6","","","",""
"français","6","","","",""
"achats","6","","","",""
"html","6","","","",""
"guerre","6","","","",""
"liberté","6","","","",""
"option","6","","","",""
"carte","6","","","",""
"guide","6","","","",""
"dématérialisés","6","","","",""
"difficultés","6","","","",""
"ouvrage","6","","","",""
"open","6","","","",""
"content","6","","","",""
"sports","6","","","",""
"indique","6","","","",""
"julie","6","","","",""
"regarder","6","","","",""
"amérique","6","","","",""
"seuls","6","","","",""
"octobre","6","","","",""
"prix","6","","","",""
"accord","6","","","",""
"ordinateurs","6","","","",""
"dernières","6","","","",""
"attachés","6","","","",""
"aimez","6","","","",""
"doute","6","","","",""
"septembre","6","","","",""
"aînés","6","","","",""
"désamour","6","","","",""
"certainement","6","","","",""
"façons","6","","","",""
"juillet","6","","","",""
"messages","6","","","",""
"opinionway","6","","","",""
"décrochage","6","","","",""
"campagne","6","","","",""
"illustration","6","","","",""
"sortir","6","","","",""
"flaubert","6","","","",""
"alternate","6","","","",""
"51","5","","","",""
"64","5","","","",""
"75","5","","","",""
"87","5","","","",""
"90","5","","","",""
"95","5","","","",""
"100","5","","","",""
"2009","5","","","",""
"2012","5","","","",""
"univers","5","","","",""
"démontre","5","","","",""
"président","5","","","",""
"dynamique","5","","","",""
"avoir","5","","","",""
"blogs","5","","","",""
"sne","5","","","",""
"droits","5","","","",""
"commerce","5","","","",""
"twitter","5","","","",""
"vies","5","","","",""
"métiers","5","","","",""
"sentiment","5","","","",""
"disparu","5","","","",""
"propre","5","","","",""
"définir","5","","","",""
"logo","5","","","",""
"réel","5","","","",""
"participants","5","","","",""
"expérience","5","","","",""
"ouvrir","5","","","",""
"technologie","5","","","",""
"lisais","5","","","",""
"dépend","5","","","",""
"baissé","5","","","",""
"choisir","5","","","",""
"résumé","5","","","",""
"profs","5","","","",""
"facilement","5","","","",""
"donnent","5","","","",""
